
C:\Users\fff\Documents\SportsMate>python Main.py


Are you sure you want to receive new ranking data? (y/n) n


--------------------------------------------------          National Basketball Association           --------------------------------------------------

01. [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, QuarterTotal - o, QuarterML - o, Halftime - o(home@1.5) swap-False

02. [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : Q2, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

03. [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

04. [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

05. [       Dallas Mavericks       ] vs [         Phoenix Suns         ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

06. [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - o(away@1.28) swap-False

07. [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - o(home@1.4) swap-False

08. [    Oklahoma City Thunder     ] vs [     Los Angeles Clippers     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

09. [        Denver Nuggets        ] vs [      Washington Wizards      ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

10. [          Utah Jazz           ] vs [      Charlotte Hornets       ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

11. [    Golden State Warriors     ] vs [      Los Angeles Lakers      ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - o(home@1.43) swap-False

12. [       Sacramento Kings       ] vs [      San Antonio Spurs       ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - o(home@1.2) swap-False

--------------------------------------------------      National Collegiate Athletic Association      --------------------------------------------------

01. [      Maine Black Bears       ] vs [      Maryland Baltimore      ] : Q2, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

02. [      Bellarmine Knights      ] vs [    Central Arkansas Bears    ] : Q2, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

03. [   UMass Lowell River Hawks   ] vs [     Binghamton Bearcats      ] : Q2, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

04. [    Stony Brook Seawolves     ] vs [  North Carolina A&T Aggies   ] : Q2, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

05. [     William & Mary Tribe     ] vs [North Carolina Wilmington Seahawks] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

06. [    Florida Atlantic Owls     ] vs [ Southern Methodist Mustangs  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

07. [    New Hampshire Wildcats    ] vs [       NJIT Highlanders       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

08. [     Purdue Boilermakers      ] vs [   Rutgers Scarlet Knights    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

09. [       Stetson Hatters        ] vs [        Queens Royals         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

10. [    Sacred Heart Pioneers     ] vs [ Fairleigh Dickinson Knights  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

11. [   Robert Morris Colonials    ] vs [   Oakland Golden Grizzlies   ] : Q2, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

12. [      Merrimack Warriors      ] vs [  St. Francis (PA) Red Flash  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

