--------------------          National Basketball Association           --------------------

01. [        Indiana Pacers        ] vs [       Toronto Raptors        ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - o(home@1.45) swap-False

02. [       New York Knicks        ] vs [       Detroit Pistons        ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

03. [      Memphis Grizzlies       ] vs [        Brooklyn Nets         ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - x swap-False

--------------------      National Collegiate Athletic Association      --------------------

01. [ Delaware Fightin` Blue Hens  ] vs [        Drexel Dragons        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

02. [    Kansas State Wildcats     ] vs [  West Virginia Mountaineers  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.16) swap-False

03. [   North Carolina Tar Heels   ] vs [   Miami-Florida Hurricanes   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

04. [       Benedict Tigers        ] vs [    Clark Atlanta Panthers    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

05. [    Savannah State Tigers     ] vs [  Fort Valley State Wildcats  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

06. [  Kentucky State Thorobreds   ] vs [    Tuskegee Golden Tigers    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

07. [  Colorado Christian Cougars  ] vs [  Colorado Mines Orediggers   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

08. [      NC Central Eagles       ] vs [    Delaware State Hornets    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.44) swap-False

09. [         Howard Bison         ] vs [     Coppin State Eagles      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.08) swap-False

10. [South Carolina State Bulldogs ] vs [ Maryland Eastern Shore Hawks ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.23) swap-False

11. [      Morgan State Bears      ] vs [    Norfolk State Spartans    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

12. [   Nicholls State Colonels    ] vs [   Incarnate Word Cardinals   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.21) swap-False

13. [     Edward Waters Tigers     ] vs [   Albany State Golden Rams   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

14. [   Bethune-Cookman Wildcats   ] vs [    Alabama State Hornets     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

15. [   Central State Marauders    ] vs [     Spring Hill Badgers      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

16. [   Houston Baptist Huskies    ] vs [Texas A&M-Corpus Christi Islanders] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

17. [       Lamar Cardinals        ] vs [        McNeese State         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.23) swap-False

18. [     Florida A&M Rattlers     ] vs [     Alabama A&M Bulldogs     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

19. [         Lane Dragons         ] vs [      Miles Golden Bears      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

20. [  Mississippi Valley Devils   ] vs [  Prairie View A&M Panthers   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

21. [   Campbell Fighting Camels   ] vs [North Carolina Wilmington Seahawks] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.23) swap-False

22. [Arkansas-Pine Bluff Golden Lions] vs [    Texas Southern Tigers     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.55) swap-False

23. [       TCU Horned Frogs       ] vs [         Baylor Bears         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

24. [      Villanova Wildcats      ] vs [       Georgetown Hoyas       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.03) swap-False

25. [         Ohio Bobcats         ] vs [          Akron Zips          ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

26. [        Toledo Rockets        ] vs [  Northern Illinois Huskies   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.05) swap-False

27. [  Mississippi State Bulldogs  ] vs [      Kentucky Wildcats       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

28. [       Indiana Hoosiers       ] vs [      Wisconsin Badgers       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.53) swap-False

